Change history report
"October 1, 2025 - January 31, 2026"
Date & time,User,Campaign,Ad group,Changes
"Jan 31, 2026, 4:33:20 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 31, 2026, 4:33:17 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 30, 2026, 1:55:16 PM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"1 negative age range changed
  18-24: included to excluded"
"Jan 30, 2026, 1:54:59 PM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"5 negative exact match keywords added
  -[aim machine shop]
  -[crankshaft machining near me]
  -[blacksmith shops near me]
  -[bender mechanical]
  -[blacksmith nearby]"
"Jan 30, 2026, 4:35:23 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 30, 2026, 4:35:20 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 29, 2026, 1:07:18 PM",webmaster@clix.co,Fall Protection | All Geos,Anchor,"1 phrase match keyword added
  ""permanent roof tie off anchors""
1 broad match keyword removed
  permanent roof tie off anchors"
"Jan 29, 2026, 1:07:14 PM",webmaster@clix.co,Fall Protection | All Geos,Anchor,"1 broad match keyword removed
  roof tie off anchors
1 phrase match keyword added
  ""roof tie off anchors"""
"Jan 29, 2026, 1:07:11 PM",webmaster@clix.co,Fall Protection | All Geos,Anchor,"1 phrase match keyword added
  ""roof tie offs""
1 broad match keyword removed
  roof tie offs"
"Jan 29, 2026, 4:34:02 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 29, 2026, 4:34:00 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 28, 2026, 4:40:23 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 28, 2026, 4:40:21 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 27, 2026, 1:09:37 PM",webmaster@clix.co,Metal Fabrication | All Geos,Welding,"1 broad match keyword added
  structural welding"
"Jan 27, 2026, 1:09:15 PM",webmaster@clix.co,Fall Protection | All Geos,Fall Protection Systems - Generic,"1 negative exact match keyword added
  -[davit arm]"
"Jan 27, 2026, 1:09:15 PM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"1 negative exact match keyword added
  -[bend stainless steel]"
"Jan 21, 2026, 1:53:56 PM",webmaster@clix.co,,,"Account Wide Negatives: 29 negative exact match keywords added to list
  -[blacksmith san francisco]
  -[different types of forklifts]
  -[define welders]
  -[welding metallurgy]
  -[osha roof tie off requirements]
  -[english wheel fabrication]
  -[types of metal for welding]
  -[commercial metal roofers near me]
  -[scissor lifts for sale]
  -[aluminum water jet cutting services]
  -[fabrication mecanique]
  -[local welding shop]
  -[industrial lifting machines]
  -[interstate metals]
  -[portland metal works]
  -[malta dynamics]
  -[osha 1926.501 b 1]
  -[tipos de soldadura]
  -[kobelco cranes]
  -[steel sheet cutting near me]
  -[fabtech near me]
  -[osha 1926.1053]
  -[ar500 steel sheet]
  -[steel suppliers near me]
  -[types of welding joints]
  -[warehouse material handling]
  -[how to use harness on roof]
  -[rocky mountain fabworks]
  -[brazing services near me]"
"Jan 21, 2026, 1:49:17 PM",webmaster@clix.co,Metal Fabrication | PMAX,,"5 negative exact match keywords added
  -[blacksmith san francisco]
  -[different types of forklifts]
  -[define welders]
  -[mathews mechanical]
  -[crane truck services]"
"Jan 20, 2026, 9:52:11 AM",webmaster@clix.co,Metal Fabrication | PMAX,,"Negative keyword list ""Account Wide Negatives"" applied
  
Account Wide Negatives: 1 negative broad match keyword added to list
  -machine shop"
"Jan 16, 2026, 9:33:42 AM",webmaster@clix.co,Metal Fabrication | All Geos,,"14 negative exact match keywords added
  -[formed stainless steel]
  -[anodizing process near me]
  -[d and d metals]
  -[tube bending services near me]
  -[welding supply near me]
  -[metal water jet cutting near me]
  -[plasma cutting near me]
  -[powder coated steel]
  -[snohomish welding]
  -[steel distributors near me]
  -[pipe bending shop]
  -[stainless steel metal sheets near me]
  -[aluminum anodizing near me]
  -[blue arc welding]"
"Jan 15, 2026, 4:33:53 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 15, 2026, 4:33:50 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
